,,,,,,,,,,,,,,dip_dir,,,,,corr_dir
11427bae3a42e0e34fc32798846c3dde, Locality 2, 0e98996c258c1655325e5ff2f58fd4fb,710121.5075,4367059.822,39.427478,-114.55881, 11S,2666.706543,30,12, Foreset ,175,32,265,11.654, Jenny Lind, Sat Oct 22 14:52:49 2022,,84.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, e8e51369f919f8176ac78e2be7c67c27,710195.4359,4367010.941,39.427019,-114.557967, 11S,2668.072021,5,6, Foreset ,197,31,287,11.654, Jenny Lind, Sat Oct 22 14:35:08 2022,,103
11427bae3a42e0e34fc32798846c3dde, Locality 2, 4336517ff0911987bb9400703b080b64,710219.1925,4366978.145,39.426718,-114.557702, 11S,2610.987549,5,24, Foreset ,210,34,300,11.654, Cocomongo, Sat Oct 22 14:31:40 2022,,292.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 378b471f089aa962c3299004a0f39a2c,710243.8563,4366973.972,39.426675,-114.557417, 11S,2644.157715,5,8, Foreset ,203,47,293,11.654, Cocomongo, Sat Oct 22 14:30:01 2022,,282.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 5eab2f4e7862c974c6b01866ed3d2f28,710257.2746,4366949.644,39.426453,-114.557268, 11S,2651.202148,10,16, Foreset ,201,41,291,11.654, Cocomongo, Sat Oct 22 14:29:05 2022,,283
11427bae3a42e0e34fc32798846c3dde, Locality 2, 544ef53cf8d58cc2061006a5724ae94d,710329.3539,4366924.037,39.426204,-114.55644, 11S,2578.959473,50,6, Foreset ,200,17,290,11.654, Cocomongo, Sat Oct 22 14:16:05 2022,,110.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 99f7eb36ecd2284a294fd9236097fed2,710334.9144,4366894.715,39.425939,-114.556385, 11S,2585.179443,5,12, Foreset ,215,52,305,11.654, Cocomongo, Sat Oct 22 14:13:12 2022,,287.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, c494a9d6b43b7b507fc3b1f1aa2f65dc,710364.526,4366848.41,39.425515,-114.556055, 11S,2559.17749,10,24, Foreset ,182,35,272,11.654, Cocomongo, Sat Oct 22 14:09:04 2022,,89.8
11427bae3a42e0e34fc32798846c3dde, Locality 2, bd5d01971263c0bb286597e38b2772da,710380.9727,4366871.416,39.425718,-114.555857, 11S,2611.351562,5,24, Foreset ,192,37,282,11.654, Cocomongo, Sat Oct 22 14:10:57 2022,,97.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, af5307c024d87c55761a40169bf84ca0,710382.36,4366832.758,39.42537,-114.555853, 11S,2549.840088,5,12, Foreset ,179,36,269,11.654, Cocomongo, Sat Oct 22 14:08:12 2022,,87.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, 730393b9cd7b87232bdc030a12f79880,710423.4853,4366772.763,39.42482,-114.555395, 11S,2516.122803,5,6, Foreset ,175,47,265,11.654, Salvi, Sat Oct 22 13:20:47 2022,,263.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 6171809df32dff21ff823391caeba9cb,710660.3158,4359222.289,39.356788,-114.555021, 11S,2903.431641,5,6, Foreset ,211,45,301,11.654, Will-qtz c, Mon Oct 31 16:16:53 2022,,288.3
11427bae3a42e0e34fc32798846c3dde, Locality 2, 8711fdd0302847356718e1d62022ec81,710535.8901,4366718.108,39.4243,-114.554107, 11S,2489.957764,5,4, Foreset ,166,67,256,11.654, Salvi, Sat Oct 22 13:04:37 2022,,258.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, cc8d59f95a3979ce3a53f926ca37e084,710783.8041,4359273.886,39.357223,-114.553572, 11S,2823.184814,5,3, Foreset ,193,54,283,11.654, Will-qtz c, Mon Oct 31 15:52:31 2022,,273.8
f033cab836a09a11bc1c62cc78dd334e, Willie way, d855c2021e49ada5a2511a4036bcb00d,710889.3938,4361000.386,39.37274,-114.551805, 11S,2238.7,5,9.5, Paleocurrent,178,46,268,11.591, Salvi, Thu Jun 29 14:16:13 2023,,265.6
11427bae3a42e0e34fc32798846c3dde, Locality 2, 542d997503d1b060d42584306e356071,710837.6662,4366593.73,39.423107,-114.550644, 11S,2408.046387,5,12, Foreset ,184,46,274,11.654, Salvi, Sat Oct 22 12:28:11 2022,,269.7
f033cab836a09a11bc1c62cc78dd334e, Willie way, 9866a5cc17b05a451da9a9714104dc20,710997.8058,4361188.46,39.374407,-114.550488, 11S,2329.1,5,9.5, Paleocurrent,154,40,244,11.591, Salvi, Thu Jun 29 12:24:37 2023,,247.8
f033cab836a09a11bc1c62cc78dd334e, Willie way, c678b2f47271f867b11e6a38368bbc84,711000.315,4361164.831,39.374193,-114.550467, 11S,2309.7,10,19, Paleocurrent,216,25,306,11.591, Salvi, Thu Jun 29 13:10:34 2023,,120.9
f033cab836a09a11bc1c62cc78dd334e, Willie way, 2bbbac4c2212efe88c8b4538864cae6b,711001.4837,4361190.596,39.374425,-114.550445, 11S,2330.5,5,9.5, Paleocurrent,170,38,260,11.591, Salvi, Thu Jun 29 12:26:26 2023,,80
f033cab836a09a11bc1c62cc78dd334e, Willie way, 6edc7c2fa757282254de645b9ed63d93,711007.9991,4361178.184,39.374312,-114.550373, 11S,2329.5,5,9.5, Paleocurrent,173,41,263,11.591, Salvi, Thu Jun 29 12:29:06 2023,,262.3
f033cab836a09a11bc1c62cc78dd334e, Willie way, 9f8ad253e44095f747646b067574901c,711009.0092,4361178.026,39.37431,-114.550362, 11S,2321.4,5,9.5, Paleocurrent,183,44,273,11.591, Salvi, Thu Jun 29 12:31:33 2023,,269.3
f033cab836a09a11bc1c62cc78dd334e, Willie way, da1e40db10d39d75454211d9e41ef5e4,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,166,39,256,11.591, Salvi, Thu Jun 29 12:50:13 2023,,76.9
f033cab836a09a11bc1c62cc78dd334e, Willie way, 009f266dbbcb991c777a866c1f4d2ccd,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,168,38,258,11.591, Salvi, Thu Jun 29 12:50:01 2023,,78.4
f033cab836a09a11bc1c62cc78dd334e, Willie way, 9a988fed0c15f05969894817f8c3cabf,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,175,39,265,11.591, Salvi, Thu Jun 29 12:48:42 2023,,83.9
f033cab836a09a11bc1c62cc78dd334e, Willie way, 3912729fe8888ea848b0042ab1a3e029,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,169,40,259,11.591, Salvi, Thu Jun 29 12:48:31 2023,,259.2
f033cab836a09a11bc1c62cc78dd334e, Willie way, 4231a2df64d1aa8533ebef5fe7842c78,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,176,50,266,11.591, Salvi, Thu Jun 29 12:47:23 2023,,263.9
f033cab836a09a11bc1c62cc78dd334e, Willie way, 82703b259f179557217dd1d5c46d8d76,711013.653,4361165.748,39.374198,-114.550312, 11S,2338.6,10,19, Paleocurrent,220,24,310,11.591, Salvi, Thu Jun 29 12:45:37 2023,,124.5
f033cab836a09a11bc1c62cc78dd334e, Willie way, d2814575acfab7f63badb3c006411062,711013.4713,4361188.33,39.374402,-114.550307, 11S,2308.1,10,19, Paleocurrent,164,48,254,11.591, Salvi, Thu Jun 29 13:02:53 2023,,255.9
f033cab836a09a11bc1c62cc78dd334e, Willie way, 56f65a9b07ec9465106c6159d87da9ed,711014.5968,4361183.917,39.374362,-114.550295, 11S,2309,10,19, Paleocurrent,179,46,269,11.591, Salvi, Thu Jun 29 13:06:09 2023,,266.3
f033cab836a09a11bc1c62cc78dd334e, Willie way, b68e3944f560d6a50247f9f6b73fe5f9,711014.7354,4361184.106,39.374363,-114.550293, 11S,2309,10,19, Paleocurrent,182,48,272,11.591, Salvi, Thu Jun 29 13:05:55 2023,,268.1
f033cab836a09a11bc1c62cc78dd334e, Willie way, 816420ed889b9443765b784bfbfde2ca,711014.9864,4361174.856,39.37428,-114.550293, 11S,2314,5,9.5, Paleocurrent,198,40,288,11.591, Salvi, Thu Jun 29 12:32:40 2023,,281.1
f033cab836a09a11bc1c62cc78dd334e, Willie way, 21df7cf490fc41c784cfbcd3729ee325,711014.9723,4361185.964,39.37438,-114.55029, 11S,2308.7,10,19, Paleocurrent,198,42,288,11.591, Salvi, Thu Jun 29 13:03:33 2023,,280.5
f033cab836a09a11bc1c62cc78dd334e, Willie way, c056acb11f5d94080ed0ba7847398b6f,711015.7435,4361162.843,39.374172,-114.550288, 11S,2309.3,10,19, Paleocurrent,245,22,335,11.591, Salvi, Thu Jun 29 12:59:26 2023,,324.6
